"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.137619
0,"vac_dist",1,0.637302
0,"vac_dist",2,0.0129626
0,"vac_dist",3,0.212116
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,110968
1,"vac_dist",0,0.0781865
1,"vac_dist",1,0.847675
1,"vac_dist",2,0.0193158
1,"vac_dist",3,0.0548231
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,110968
2,"vac_dist",0,0.0157398
2,"vac_dist",1,0.948322
2,"vac_dist",2,0.0241263
2,"vac_dist",3,0.0118114
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,110968
3,"vac_dist",0,0.0696156
3,"vac_dist",1,0.658859
3,"vac_dist",2,0.0136008
3,"vac_dist",3,0.257925
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,110968
4,"vac_dist",0,0.212858
4,"vac_dist",1,0.767497
4,"vac_dist",2,0.0059955
4,"vac_dist",3,0.0136487
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,110968
5,"vac_dist",0,0.129675
5,"vac_dist",1,0.708986
5,"vac_dist",2,0.049614
5,"vac_dist",3,0.111726
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,110968
6,"vac_dist",0,0.147133
6,"vac_dist",1,0.659087
6,"vac_dist",2,0.00540819
6,"vac_dist",3,0.188372
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,110968
7,"vac_dist",0,0.201219
7,"vac_dist",1,0.650046
7,"vac_dist",2,0.0119644
7,"vac_dist",3,0.136771
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,110968
8,"vac_dist",0,0.105099
8,"vac_dist",1,0.665948
8,"vac_dist",2,0.0475452
8,"vac_dist",3,0.181408
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,110968
9,"vac_dist",0,0.0296412
9,"vac_dist",1,0.759602
9,"vac_dist",2,0.0527528
9,"vac_dist",3,0.158004
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,110968
10,"vac_dist",0,0.149405
10,"vac_dist",1,0.699951
10,"vac_dist",2,0.0110618
10,"vac_dist",3,0.139582
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,110968
11,"vac_dist",0,0.149713
11,"vac_dist",1,0.790541
11,"vac_dist",2,0.022882
11,"vac_dist",3,0.0368639
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,110968
12,"vac_dist",0,0.155243
12,"vac_dist",1,0.644585
12,"vac_dist",2,0.0427876
12,"vac_dist",3,0.157385
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,110968
13,"vac_dist",0,0.129163
13,"vac_dist",1,0.68823
13,"vac_dist",2,0.0446972
13,"vac_dist",3,0.13791
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,110968
14,"vac_dist",0,0.0392872
14,"vac_dist",1,0.749097
14,"vac_dist",2,0.0473858
14,"vac_dist",3,0.16423
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,110968
15,"vac_dist",0,0.196479
15,"vac_dist",1,0.721609
15,"vac_dist",2,0.0182991
15,"vac_dist",3,0.0636127
15,"vac_identifiable",0,0
15,"vac_protect_duration",0,96
15,"vac_rate",0,110968
16,"vac_dist",0,0.126529
16,"vac_dist",1,0.699953
16,"vac_dist",2,0.0719617
16,"vac_dist",3,0.101556
16,"vac_identifiable",0,0
16,"vac_protect_duration",0,96
16,"vac_rate",0,110968
17,"vac_dist",0,0.148525
17,"vac_dist",1,0.665125
17,"vac_dist",2,0.0353091
17,"vac_dist",3,0.151041
17,"vac_identifiable",0,0
17,"vac_protect_duration",0,96
17,"vac_rate",0,110968
18,"vac_dist",0,0.10284
18,"vac_dist",1,0.680741
18,"vac_dist",2,0.0135761
18,"vac_dist",3,0.202843
18,"vac_identifiable",0,0
18,"vac_protect_duration",0,96
18,"vac_rate",0,110968
19,"vac_dist",0,0.151539
19,"vac_dist",1,0.734619
19,"vac_dist",2,0.0187514
19,"vac_dist",3,0.0950907
19,"vac_identifiable",0,0
19,"vac_protect_duration",0,96
19,"vac_rate",0,110968
20,"vac_dist",0,0.143491
20,"vac_dist",1,0.835611
20,"vac_dist",2,0.00720293
20,"vac_dist",3,0.0136944
20,"vac_identifiable",0,0
20,"vac_protect_duration",0,96
20,"vac_rate",0,110968
21,"vac_dist",0,0.13721
21,"vac_dist",1,0.619015
21,"vac_dist",2,0.00358962
21,"vac_dist",3,0.240186
21,"vac_identifiable",0,0
21,"vac_protect_duration",0,96
21,"vac_rate",0,110968
22,"vac_dist",0,0.114572
22,"vac_dist",1,0.669149
22,"vac_dist",2,0.0107048
22,"vac_dist",3,0.205574
22,"vac_identifiable",0,0
22,"vac_protect_duration",0,96
22,"vac_rate",0,110968
23,"vac_dist",0,0.146752
23,"vac_dist",1,0.611102
23,"vac_dist",2,0.0293782
23,"vac_dist",3,0.212768
23,"vac_identifiable",0,0
23,"vac_protect_duration",0,96
23,"vac_rate",0,110968
24,"vac_dist",0,0.0154521
24,"vac_dist",1,0.809788
24,"vac_dist",2,0.0251297
24,"vac_dist",3,0.14963
24,"vac_identifiable",0,0
24,"vac_protect_duration",0,96
24,"vac_rate",0,110968
25,"vac_dist",0,0.072495
25,"vac_dist",1,0.697253
25,"vac_dist",2,0.0318322
25,"vac_dist",3,0.19842
25,"vac_identifiable",0,0
25,"vac_protect_duration",0,96
25,"vac_rate",0,110968
26,"vac_dist",0,0.0990333
26,"vac_dist",1,0.672997
26,"vac_dist",2,0.0129161
26,"vac_dist",3,0.215053
26,"vac_identifiable",0,0
26,"vac_protect_duration",0,96
26,"vac_rate",0,110968
27,"vac_dist",0,0.0512422
27,"vac_dist",1,0.842894
27,"vac_dist",2,0.0322199
27,"vac_dist",3,0.073644
27,"vac_identifiable",0,0
27,"vac_protect_duration",0,96
27,"vac_rate",0,110968
28,"vac_dist",0,0.0972653
28,"vac_dist",1,0.849768
28,"vac_dist",2,0.0183192
28,"vac_dist",3,0.034647
28,"vac_identifiable",0,0
28,"vac_protect_duration",0,96
28,"vac_rate",0,110968
29,"vac_dist",0,0.170032
29,"vac_dist",1,0.633872
29,"vac_dist",2,0.0254054
29,"vac_dist",3,0.170691
29,"vac_identifiable",0,0
29,"vac_protect_duration",0,96
29,"vac_rate",0,110968
30,"vac_dist",0,0.170644
30,"vac_dist",1,0.614879
30,"vac_dist",2,0.0296202
30,"vac_dist",3,0.184857
30,"vac_identifiable",0,0
30,"vac_protect_duration",0,96
30,"vac_rate",0,110968
31,"vac_dist",0,0.152932
31,"vac_dist",1,0.661233
31,"vac_dist",2,0.0236579
31,"vac_dist",3,0.162177
31,"vac_identifiable",0,0
31,"vac_protect_duration",0,96
31,"vac_rate",0,110968
32,"vac_dist",0,0.124303
32,"vac_dist",1,0.623696
32,"vac_dist",2,0.0585726
32,"vac_dist",3,0.193428
32,"vac_identifiable",0,0
32,"vac_protect_duration",0,96
32,"vac_rate",0,110968
33,"vac_dist",0,0.080049
33,"vac_dist",1,0.706899
33,"vac_dist",2,0.0579957
33,"vac_dist",3,0.155056
33,"vac_identifiable",0,0
33,"vac_protect_duration",0,96
33,"vac_rate",0,110968
34,"vac_dist",0,0.13627
34,"vac_dist",1,0.537202
34,"vac_dist",2,0.0236108
34,"vac_dist",3,0.302917
34,"vac_identifiable",0,0
34,"vac_protect_duration",0,96
34,"vac_rate",0,110968
35,"vac_dist",0,0.0933227
35,"vac_dist",1,0.710535
35,"vac_dist",2,0.0515332
35,"vac_dist",3,0.144609
35,"vac_identifiable",0,0
35,"vac_protect_duration",0,96
35,"vac_rate",0,110968
36,"vac_dist",0,0.121419
36,"vac_dist",1,0.654125
36,"vac_dist",2,0.00153712
