PAR_NAME,PRIOR_DIST,PRIOR_PARS
p_immune_start_anj,beta,5.000000;45.000000
p_immune_start_gra,beta,20.000000;30.000000
p_immune_start_may,beta,5.000000;45.000000
p_immune_start_moh,beta,20.000000;30.000000
move_anj_gra,ltnorm,13.020833;1.302083;1.000000
move_anj_may,ltnorm,31.250000;3.125000;1.000000
move_anj_moh,ltnorm,8.520833;0.852083;1.000000
move_gra_anj,ltnorm,1.041667;1.041667;0.000000
move_gra_moh,ltnorm,7.291667;0.729167;1.000000
move_moh_anj,ltnorm,1.041667;1.041667;0.000000
move_moh_gra,ltnorm,14.083333;1.408333;1.000000
import_size,ltnorm,3.125000;3.125000;0.000000
import_start,tnorm,128.000000;24.000000;116.000000;156.000000
import_duration,tnorm,24.000000;12.000000;0.000000;48.000000
ndvi_rate,ltnorm,3.000000;2.000000;0.000000
trans_scale_anj,tnorm,-2.000000;2.000000;-10000000000.000000;0.000000
trans_scale_gra,tnorm,-2.000000;2.000000;-10000000000.000000;0.000000
trans_scale_may,tnorm,-2.000000;2.000000;-10000000000.000000;0.000000
trans_scale_moh,tnorm,-2.000000;2.000000;-10000000000.000000;0.000000
