OPTIM_ID,STEP_ID,PARTICLE_ID,SAMPLE_ID,COST_VALUE
0,0,0,0,0.330099
0,0,0,1,0.327228
0,0,0,2,0.343823
0,0,0,3,0.314556
0,0,0,4,0.331395
0,0,0,5,0.328048
0,0,0,6,0.355747
0,0,0,7,0.362067
0,0,0,8,0.306563
0,0,0,9,0.311479
0,0,1,0,0.337673
0,0,1,1,0.294889
0,0,1,2,0.299956
0,0,1,3,0.356235
0,0,1,4,0.337109
0,0,1,5,0.333016
0,0,1,6,0.320875
0,0,1,7,0.32246
0,0,1,8,0.300371
0,0,1,9,0.288213
0,0,2,0,0.199737
0,0,2,1,0.182709
0,0,2,2,0.242061
0,0,2,3,0.223069
0,0,2,4,0.158184
0,0,2,5,0.197901
0,0,2,6,0.15223
0,0,2,7,0.196108
0,0,2,8,0.165343
0,0,2,9,0.194168
0,0,3,0,0.445303
0,0,3,1,0.392067
0,0,3,2,0.472431
0,0,3,3,0.429431
0,0,3,4,0.424486
0,0,3,5,0.41275
0,0,3,6,0.405714
0,0,3,7,0.429612
0,0,3,8,0.440797
0,0,3,9,0.462022
0,0,4,0,0.293981
0,0,4,1,0.285274
0,0,4,2,0.279334
0,0,4,3,0.265811
0,0,4,4,0.237182
0,0,4,5,0.279644
0,0,4,6,0.288086
0,0,4,7,0.222742
0,0,4,8,0.208845
0,0,4,9,0.229488
0,0,5,0,0.265056
0,0,5,1,0.288566
0,0,5,2,0.241606
0,0,5,3,0.299972
0,0,5,4,0.23489
0,0,5,5,0.303906
0,0,5,6,0.194335
0,0,5,7,0.316986
0,0,5,8,0.255912
0,0,5,9,0.291183
0,0,6,0,0.266292
0,0,6,1,0.19916
0,0,6,2,0.172274
0,0,6,3,0.253197
0,0,6,4,0.253801
0,0,6,5,0.210349
0,0,6,6,0.211741
0,0,6,7,0.226673
0,0,6,8,0.229541
0,0,6,9,0.245132
0,0,7,0,0.378223
0,0,7,1,0.372362
0,0,7,2,0.40688
0,0,7,3,0.355878
0,0,7,4,0.425767
0,0,7,5,0.417358
0,0,7,6,0.412353
0,0,7,7,0.380514
0,0,7,8,0.401746
0,0,7,9,0.377192
0,0,8,0,0.373939
0,0,8,1,0.408748
0,0,8,2,0.369371
0,0,8,3,0.376797
0,0,8,4,0.371874
0,0,8,5,0.444505
0,0,8,6,0.413456
0,0,8,7,0.358859
0,0,8,8,0.419964
0,0,8,9,0.393053
0,0,9,0,0.434765
0,0,9,1,0.428158
0,0,9,2,0.406411
0,0,9,3,0.443692
0,0,9,4,0.451006
0,0,9,5,0.425835
0,0,9,6,0.370073
0,0,9,7,0.390308
0,0,9,8,0.42999
0,0,9,9,0.415239
0,0,10,0,0.249943
0,0,10,1,0.181207
0,0,10,2,0.211325
0,0,10,3,0.213008
0,0,10,4,0.242625
0,0,10,5,0.263126
0,0,10,6,0.25378
0,0,10,7,0.253044
0,0,10,8,0.23874
0,0,10,9,0.246775
0,0,11,0,0.345118
0,0,11,1,0.354562
0,0,11,2,0.337279
0,0,11,3,0.386218
0,0,11,4,0.354437
0,0,11,5,0.357825
0,0,11,6,0.307509
0,0,11,7,0.343334
0,0,11,8,0.32857
0,0,11,9,0.306806
0,0,12,0,0.342813
0,0,12,1,0.358321
0,0,12,2,0.336351
0,0,12,3,0.342303
0,0,12,4,0.309499
0,0,12,5,0.327916
0,0,12,6,0.30995
0,0,12,7,0.33109
0,0,12,8,0.289508
0,0,12,9,0.323872
0,0,13,0,0.438376
0,0,13,1,0.461118
0,0,13,2,0.410179
0,0,13,3,0.425107
0,0,13,4,0.42834
0,0,13,5,0.40709
0,0,13,6,0.444377
0,0,13,7,0.424745
0,0,13,8,0.437443
0,0,13,9,0.416402
0,0,14,0,0.418204
0,0,14,1,0.427732
0,0,14,2,0.35994
0,0,14,3,0.367802
0,0,14,4,0.33989
0,0,14,5,0.381817
0,0,14,6,0.370248
0,0,14,7,0.420308
0,0,14,8,0.382468
0,0,14,9,0.379738
0,0,15,0,0.365607
0,0,15,1,0.376602
0,0,15,2,0.403678
0,0,15,3,0.384995
0,0,15,4,0.385479
0,0,15,5,0.375857
0,0,15,6,0.401091
0,0,15,7,0.379151
0,0,15,8,0.347502
0,0,15,9,0.361885
0,0,16,0,0.243807
0,0,16,1,0.28572
0,0,16,2,0.233977
0,0,16,3,0.283926
0,0,16,4,0.238524
0,0,16,5,0.233144
0,0,16,6,0.214368
0,0,16,7,0.213366
0,0,16,8,0.2213
0,0,16,9,0.228331
0,0,17,0,0.224339
0,0,17,1,0.280393
0,0,17,2,0.251178
0,0,17,3,0.278862
0,0,17,4,0.244667
0,0,17,5,0.265074
0,0,17,6,0.239103
0,0,17,7,0.271969
0,0,17,8,0.225807
0,0,17,9,0.291714
0,0,18,0,0.368732
0,0,18,1,0.398049
0,0,18,2,0.372043
0,0,18,3,0.366393
0,0,18,4,0.354758
0,0,18,5,0.338475
0,0,18,6,0.341704
0,0,18,7,0.313349
0,0,18,8,0.394483
0,0,18,9,0.36908
0,0,19,0,0.208928
0,0,19,1,0.253698
0,0,19,2,0.214412
0,0,19,3,0.28098
0,0,19,4,0.25757
0,0,19,5,0.218364
0,0,19,6,0.208026
0,0,19,7,0.209111
0,0,19,8,0.194488
0,0,19,9,0.175968
0,0,20,0,0.286927
0,0,20,1,0.237941
0,0,20,2,0.301323
0,0,20,3,0.252048
0,0,20,4,0.322993
0,0,20,5,0.369079
0,0,20,6,0.29575
0,0,20,7,0.286158
0,0,20,8,0.327707
0,0,20,9,0.333939
0,0,21,0,0.142428
0,0,21,1,0.219954
0,0,21,2,0.258957
0,0,21,3,0.182586
0,0,21,4,0.164888
0,0,21,5,0.195588
0,0,21,6,0.22552
0,0,21,7,0.242247
0,0,21,8,0.207505
0,0,21,9,0.222804
0,0,22,0,0.325979
0,0,22,1,0.29237
0,0,22,2,0.292282
0,0,22,3,0.319368
0,0,22,4,0.299045
0,0,22,5,0.303229
0,0,22,6,0.279971
0,0,22,7,0.299536
0,0,22,8,0.34307
0,0,22,9,0.378479
0,0,23,0,0.264055
0,0,23,1,0.272743
0,0,23,2,0.293345
0,0,23,3,0.26717
0,0,23,4,0.311535
0,0,23,5,0.293093
0,0,23,6,0.320765
0,0,23,7,0.313276
0,0,23,8,0.275298
0,0,23,9,0.246646
0,0,24,0,0.348831
0,0,24,1,0.362019
0,0,24,2,0.375926
0,0,24,3,0.343492
0,0,24,4,0.382373
0,0,24,5,0.364216
0,0,24,6,0.407685
0,0,24,7,0.387726
0,0,24,8,0.319219
0,0,24,9,0.365901
0,0,25,0,0.466964
0,0,25,1,0.439563
0,0,25,2,0.430511
0,0,25,3,0.377149
0,0,25,4,0.367955
0,0,25,5,0.461979
0,0,25,6,0.416455
0,0,25,7,0.446324
0,0,25,8,0.459853
0,0,25,9,0.408476
0,0,26,0,0.414413
0,0,26,1,0.433931
0,0,26,2,0.442196
0,0,26,3,0.45062
0,0,26,4,0.453058
0,0,26,5,0.428949
0,0,26,6,0.47442
0,0,26,7,0.453804
0,0,26,8,0.391081
0,0,26,9,0.451647
0,0,27,0,0.319717
0,0,27,1,0.274986
0,0,27,2,0.340871
0,0,27,3,0.304055
0,0,27,4,0.287207
0,0,27,5,0.297507
0,0,27,6,0.294283
0,0,27,7,0.286286
0,0,27,8,0.309832
0,0,27,9,0.287717
0,0,28,0,0.181588
0,0,28,1,0.177554
0,0,28,2,0.288454
0,0,28,3,0.215369
0,0,28,4,0.101513
0,0,28,5,0.184355
0,0,28,6,0.129836
0,0,28,7,0.191322
0,0,28,8,0.175804
0,0,28,9,0.16584
0,0,29,0,0.168004
0,0,29,1,0.193345
0,0,29,2,0.172422
0,0,29,3,0.158348
0,0,29,4,0.127812
0,0,29,5,0.122199
0,0,29,6,0.177117
0,0,29,7,0.164795
0,0,29,8,0.0997547
0,0,29,9,0.177292
0,0,30,0,0.231297
0,0,30,1,0.318441
0,0,30,2,0.185284
0,0,30,3,0.261896
0,0,30,4,0.218523
0,0,30,5,0.20454
0,0,30,6,0.306293
0,0,30,7,0.234318
0,0,30,8,0.266828
0,0,30,9,0.198891
0,0,31,0,0.308499
0,0,31,1,0.200363
0,0,31,2,0.263368
0,0,31,3,0.280858
0,0,31,4,0.236057
0,0,31,5,0.330738
0,0,31,6,0.239187
0,0,31,7,0.292314
0,0,31,8,0.261554
0,0,31,9,0.301721
0,0,32,0,0.252109
0,0,32,1,0.241553
0,0,32,2,0.245502
0,0,32,3,0.221472
0,0,32,4,0.208375
0,0,32,5,0.264352
0,0,32,6,0.28419
0,0,32,7,0.254201
0,0,32,8,0.238944
0,0,32,9,0.235192
0,0,33,0,0.299171
0,0,33,1,0.312984
0,0,33,2,0.308806
0,0,33,3,0.274603
0,0,33,4,0.276424
0,0,33,5,0.275834
0,0,33,6,0.287014
0,0,33,7,0.342307
0,0,33,8,0.293364
0,0,33,9,0.294088
0,0,34,0,0.177348
0,0,34,1,0.24542
0,0,34,2,0.192665
0,0,34,3,0.187597
0,0,34,4,0.20339
0,0,34,5,0.178935
0,0,34,6,0.163717
0,0,34,7,0.164813
0,0,34,8,0.162002
0,0,34,9,0.139603
0,0,35,0,0.175351
0,0,35,1,0.169242
0,0,35,2,0.137853
0,0,35,3,0.187821
0,0,35,4,0.127263
0,0,35,5,0.168487
0,0,35,6,0.272267
0,0,35,7,0.229562
0,0,35,8,0.202291
0,0,35,9,0.225911
0,0,36,0,0.291995
0,0,36,1,0.296962
0,0,36,2,0.284831
0,0,36,3,0.326124
0,0,36,4,0.271084
0,0,36,5,0.290518
0,0,36,6,0.280486
0,0,36,7,0.297919
0,0,36,8,0.279861
0,0,36,9,0.324762
0,0,37,0,0.240678
0,0,37,1,0.294166
0,0,37,2,0.209937
0,0,37,3,0.254762
0,0,37,4,0.272075
0,0,37,5,0.296126
0,0,37,6,0.28802
0,0,37,7,0.306261
