"SAMPLE_ID","PAR_NAME","PAR_INDEX","PAR_VALUE"
0,"vac_dist",0,0.166654
0,"vac_dist",1,0.203811
0,"vac_dist",2,0.118697
0,"vac_dist",3,0.510838
0,"vac_identifiable",0,0
0,"vac_protect_duration",0,96
0,"vac_rate",0,18494.7
1,"vac_dist",0,0.806455
1,"vac_dist",1,0.0780618
1,"vac_dist",2,0.0898142
1,"vac_dist",3,0.0256692
1,"vac_identifiable",0,0
1,"vac_protect_duration",0,96
1,"vac_rate",0,18494.7
2,"vac_dist",0,0.794703
2,"vac_dist",1,0.0995469
2,"vac_dist",2,0.0412555
2,"vac_dist",3,0.0644946
2,"vac_identifiable",0,0
2,"vac_protect_duration",0,96
2,"vac_rate",0,18494.7
3,"vac_dist",0,0.705806
3,"vac_dist",1,0.0325347
3,"vac_dist",2,0.11883
3,"vac_dist",3,0.142829
3,"vac_identifiable",0,0
3,"vac_protect_duration",0,96
3,"vac_rate",0,18494.7
4,"vac_dist",0,0.716557
4,"vac_dist",1,0.165711
4,"vac_dist",2,0.0701938
4,"vac_dist",3,0.0475376
4,"vac_identifiable",0,0
4,"vac_protect_duration",0,96
4,"vac_rate",0,18494.7
5,"vac_dist",0,0.545354
5,"vac_dist",1,0.0220897
5,"vac_dist",2,0.165065
5,"vac_dist",3,0.267492
5,"vac_identifiable",0,0
5,"vac_protect_duration",0,96
5,"vac_rate",0,18494.7
6,"vac_dist",0,0.854334
6,"vac_dist",1,0.135492
6,"vac_dist",2,0.00407521
6,"vac_dist",3,0.00609874
6,"vac_identifiable",0,0
6,"vac_protect_duration",0,96
6,"vac_rate",0,18494.7
7,"vac_dist",0,0.347103
7,"vac_dist",1,0.284789
7,"vac_dist",2,0.105519
7,"vac_dist",3,0.26259
7,"vac_identifiable",0,0
7,"vac_protect_duration",0,96
7,"vac_rate",0,18494.7
8,"vac_dist",0,0.752906
8,"vac_dist",1,0.098302
8,"vac_dist",2,0.0958238
8,"vac_dist",3,0.0529682
8,"vac_identifiable",0,0
8,"vac_protect_duration",0,96
8,"vac_rate",0,18494.7
9,"vac_dist",0,0.615543
9,"vac_dist",1,0.0969116
9,"vac_dist",2,0.0601834
9,"vac_dist",3,0.227362
9,"vac_identifiable",0,0
9,"vac_protect_duration",0,96
9,"vac_rate",0,18494.7
10,"vac_dist",0,0.698167
10,"vac_dist",1,0.0590102
10,"vac_dist",2,0.00218877
10,"vac_dist",3,0.240634
10,"vac_identifiable",0,0
10,"vac_protect_duration",0,96
10,"vac_rate",0,18494.7
11,"vac_dist",0,0.625449
11,"vac_dist",1,0.155742
11,"vac_dist",2,0.124229
11,"vac_dist",3,0.0945797
11,"vac_identifiable",0,0
11,"vac_protect_duration",0,96
11,"vac_rate",0,18494.7
12,"vac_dist",0,0.701899
12,"vac_dist",1,0.0237374
12,"vac_dist",2,0.0817628
12,"vac_dist",3,0.192601
12,"vac_identifiable",0,0
12,"vac_protect_duration",0,96
12,"vac_rate",0,18494.7
13,"vac_dist",0,0.228568
13,"vac_dist",1,0.371907
13,"vac_dist",2,0.0822794
13,"vac_dist",3,0.317246
13,"vac_identifiable",0,0
13,"vac_protect_duration",0,96
13,"vac_rate",0,18494.7
14,"vac_dist",0,0.296416
14,"vac_dist",1,0.246193
14,"vac_dist",2,0.0407947
14,"vac_dist",3,0.416596
14,"vac_identifiable",0,0
14,"vac_protect_duration",0,96
14,"vac_rate",0,18494.7
15,"vac_dist",0,0.729592
15,"vac_dist",1,0.0606678
15,"vac_dist",2,0.0206706
15,"vac_dist",3,0.18907
15,"vac_identifiable",0,0
15,"vac_protect_duration",0,96
15,"vac_rate",0,18494.7
16,"vac_dist",0,0.445235
16,"vac_dist",1,0.0611723
16,"vac_dist",2,0.191606
16,"vac_dist",3,0.301986
16,"vac_identifiable",0,0
16,"vac_protect_duration",0,96
16,"vac_rate",0,18494.7
17,"vac_dist",0,0.59976
17,"vac_dist",1,0.30082
17,"vac_dist",2,0.0658483
17,"vac_dist",3,0.0335715
17,"vac_identifiable",0,0
17,"vac_protect_duration",0,96
17,"vac_rate",0,18494.7
18,"vac_dist",0,0.530798
18,"vac_dist",1,0.11477
18,"vac_dist",2,0.0281392
18,"vac_dist",3,0.326293
18,"vac_identifiable",0,0
18,"vac_protect_duration",0,96
18,"vac_rate",0,18494.7
19,"vac_dist",0,0.733026
19,"vac_dist",1,0.0360375
19,"vac_dist",2,0.108539
19,"vac_dist",3,0.122397
19,"vac_identifiable",0,0
19,"vac_protect_duration",0,96
19,"vac_rate",0,18494.7
20,"vac_dist",0,0.579265
20,"vac_dist",1,0.1107
20,"vac_dist",2,0.0267731
20,"vac_dist",3,0.283261
20,"vac_identifiable",0,0
20,"vac_protect_duration",0,96
20,"vac_rate",0,18494.7
21,"vac_dist",0,0.737991
21,"vac_dist",1,0.167811
21,"vac_dist",2,0.036748
21,"vac_dist",3,0.05745
21,"vac_identifiable",0,0
21,"vac_protect_duration",0,96
21,"vac_rate",0,18494.7
22,"vac_dist",0,0.621676
22,"vac_dist",1,0.00890511
22,"vac_dist",2,0.0942664
22,"vac_dist",3,0.275153
22,"vac_identifiable",0,0
22,"vac_protect_duration",0,96
22,"vac_rate",0,18494.7
23,"vac_dist",0,0.325941
23,"vac_dist",1,0.330286
23,"vac_dist",2,0.109737
23,"vac_dist",3,0.234036
23,"vac_identifiable",0,0
23,"vac_protect_duration",0,96
23,"vac_rate",0,18494.7
24,"vac_dist",0,0.73061
24,"vac_dist",1,0.018753
24,"vac_dist",2,0.0950503
24,"vac_dist",3,0.155587
24,"vac_identifiable",0,0
24,"vac_protect_duration",0,96
24,"vac_rate",0,18494.7
25,"vac_dist",0,0.692481
25,"vac_dist",1,0.13299
25,"vac_dist",2,0.0121349
25,"vac_dist",3,0.162393
25,"vac_identifiable",0,0
25,"vac_protect_duration",0,96
25,"vac_rate",0,18494.7
26,"vac_dist",0,0.35767
26,"vac_dist",1,0.0615898
26,"vac_dist",2,0.0156338
26,"vac_dist",3,0.565106
26,"vac_identifiable",0,0
26,"vac_protect_duration",0,96
26,"vac_rate",0,18494.7
27,"vac_dist",0,0.604218
27,"vac_dist",1,0.139292
27,"vac_dist",2,0.162053
27,"vac_dist",3,0.0944368
27,"vac_identifiable",0,0
27,"vac_protect_duration",0,96
27,"vac_rate",0,18494.7
28,"vac_dist",0,0.622304
28,"vac_dist",1,0.0039258
28,"vac_dist",2,0.0482038
28,"vac_dist",3,0.325567
28,"vac_identifiable",0,0
28,"vac_protect_duration",0,96
28,"vac_rate",0,18494.7
29,"vac_dist",0,0.722898
29,"vac_dist",1,0.0746384
29,"vac_dist",2,0.127208
29,"vac_dist",3,0.0752551
29,"vac_identifiable",0,0
29,"vac_protect_duration",0,96
29,"vac_rate",0,18494.7
30,"vac_dist",0,0.697739
30,"vac_dist",1,0.0145599
30,"vac_dist",2,0.0551485
30,"vac_dist",3,0.232553
30,"vac_identifiable",0,0
30,"vac_protect_duration",0,96
30,"vac_rate",0,18494.7
31,"vac_dist",0,0.532745
31,"vac_dist",1,0.0212596
31,"vac_dist",2,0.0234297
31,"vac_dist",3,0.422565
31,"vac_identifiable",0,0
31,"vac_protect_duration",0,96
31,"vac_rate",0,18494.7
32,"vac_dist",0,0.259234
32,"vac_dist",1,0.300611
32,"vac_dist",2,0.0721238
32,"vac_dist",3,0.368031
32,"vac_identifiable",0,0
32,"vac_protect_duration",0,96
32,"vac_rate",0,18494.7
33,"vac_dist",0,0.388105
33,"vac_dist",1,0.0414557
33,"vac_dist",2,0.0762423
33,"vac_dist",3,0.494197
33,"vac_identifiable",0,0
33,"vac_protect_duration",0,96
33,"vac_rate",0,18494.7
34,"vac_dist",0,0.628134
34,"vac_dist",1,0.0469702
34,"vac_dist",2,0.0918707
34,"vac_dist",3,0.233026
34,"vac_identifiable",0,0
34,"vac_protect_duration",0,96
